VaccinationDate,age_group,first_dose,second_dose,third_dose
2020-12-30,30-39,11679,0,0
2020-12-30,70-79,32963,0,0
2020-12-30,90+,3896,0,0
2020-12-30,20-29,8223,0,0
2020-12-30,40-49,16189,0,0
2020-12-31,20-29,9669,0,0
2020-12-31,0-19,1800,0,0
2020-12-31,40-49,19368,0,0
2020-12-31,30-39,13817,0,0
2020-12-31,70-79,29632,0,0
2020-12-31,60-69,38857,0,0
2020-12-31,80-89,14533,0,0
2020-12-31,90+,3766,0,0
2020-12-31,50-59,26962,0,0
2021-01-01,30-39,5780,0,0
2021-01-01,70-79,12482,0,0
2021-01-01,20-29,3331,0,0
2021-01-01,80-89,6123,0,0
2021-01-01,0-19,821,0,0
2021-01-01,40-49,9393,0,0
2021-01-01,90+,1478,0,0
2021-01-01,50-59,14374,0,0
2021-01-01,60-69,17557,0,0
2021-01-02,20-29,3344,0,0
2021-01-02,80-89,5430,0,0
2021-01-02,90+,1629,0,0
2021-01-02,30-39,5589,0,0
2021-01-02,40-49,11790,0,0
2021-01-02,60-69,14323,0,0
2021-01-02,70-79,10362,0,0
2021-01-02,50-59,18342,0,0
2021-01-02,0-19,859,0,0
2021-01-03,70-79,25691,0,0
2021-01-03,30-39,12675,0,0
2021-01-03,60-69,35346,0,0
2021-01-03,90+,2965,0,0
2021-01-03,80-89,12986,0,0
2021-01-03,0-19,2144,0,0
2021-01-03,20-29,9817,0,0
2021-01-03,40-49,19313,0,0
2021-01-03,50-59,28681,0,0
2021-01-04,90+,2667,0,0
2021-01-04,70-79,23449,0,0
2021-01-04,30-39,14150,0,0
2021-01-04,60-69,32212,0,0
2021-01-04,40-49,22922,0,0
2021-01-04,50-59,30978,0,0
2021-01-04,80-89,12096,0,0
2021-01-04,20-29,11310,0,0
2021-01-04,0-19,2268,0,0
2021-01-05,60-69,28962,0,0
2021-01-05,50-59,23787,0,0
2021-01-05,70-79,20587,0,0
2021-01-05,20-29,8670,0,0
2021-01-05,40-49,17428,0,0
2021-01-05,30-39,11085,0,0
2021-01-05,90+,2288,0,0
2021-01-05,0-19,1831,0,0
2021-01-05,80-89,10419,0,0
2021-01-06,30-39,9114,0,0
2021-01-06,70-79,16452,0,0
2021-01-06,60-69,24568,0,0
2021-01-06,80-89,8827,0,0
2021-01-06,40-49,13765,0,0
2021-01-06,50-59,18787,0,0
2021-01-06,20-29,7922,0,0
2021-01-06,0-19,1682,0,0
2021-01-06,90+,2116,0,0
2021-01-07,50-59,25351,0,0
2021-01-07,60-69,23639,0,0
2021-01-07,40-49,19154,0,0
2021-01-07,30-39,11961,0,0
2021-01-07,70-79,15390,0,0
2021-01-07,90+,1758,0,0
2021-01-07,0-19,1957,0,0
2021-01-07,20-29,8778,0,0
2021-01-07,80-89,7974,0,0
2021-01-08,50-59,14593,0,0
2021-01-08,60-69,9681,0,0
2021-01-08,0-19,1916,0,0
2021-01-08,20-29,5761,0,0
2021-01-08,80-89,2803,0,0
2021-01-08,90+,619,0,0
2021-01-08,40-49,16234,0,0
2021-01-08,70-79,5807,0,0
2021-01-08,30-39,8983,0,0
2021-01-09,20-29,3454,0,0
2021-01-09,0-19,1019,0,0
2021-01-09,50-59,9763,0,0
2021-01-09,30-39,6903,0,0
2021-01-09,70-79,3243,0,0
2021-01-09,80-89,1553,0,0
2021-01-09,60-69,5421,0,0
2021-01-09,40-49,12811,0,0
2021-01-09,90+,331,0,0
2021-01-10,20-29,3262,299,0
2021-01-10,80-89,1754,44,0
2021-01-10,50-59,7456,1538,0
2021-01-10,60-69,5584,1208,0
2021-01-10,0-19,738,15,0
2021-01-10,90+,361,<15,0
2021-01-10,30-39,5825,971,0
2021-01-10,70-79,3448,339,0
2021-01-10,40-49,9160,1575,0
2021-01-11,80-89,868,868,0
2021-01-11,20-29,1789,819,0
2021-01-11,0-19,311,51,0
2021-01-11,60-69,2514,5581,0
2021-01-11,30-39,3353,2160,0
2021-01-11,40-49,5260,2974,0
2021-01-11,90+,203,129,0
2021-01-11,70-79,1700,3652,0
2021-01-11,50-59,5095,3014,0
2021-01-12,20-29,2432,1303,0
2021-01-12,0-19,351,75,0
2021-01-12,90+,182,353,0
2021-01-12,40-49,4494,3952,0
2021-01-12,80-89,867,2721,0
2021-01-12,70-79,1773,8941,0
2021-01-12,30-39,2936,3048,0
2021-01-12,60-69,3153,11290,0
2021-01-12,50-59,7800,3961,0
2021-01-13,90+,240,928,0
2021-01-13,20-29,3825,1902,0
2021-01-13,50-59,23382,5054,0
2021-01-13,0-19,695,137,0
2021-01-13,70-79,3156,16243,0
2021-01-13,60-69,6000,19138,0
2021-01-13,80-89,1487,4975,0
2021-01-13,40-49,8034,4827,0
2021-01-13,30-39,5168,3632,0
2021-01-14,70-79,2406,20241,0
2021-01-14,90+,202,1188,0
2021-01-14,30-39,7248,3759,0
2021-01-14,0-19,1047,167,0
2021-01-14,20-29,5540,1947,0
2021-01-14,80-89,1094,6907,0
2021-01-14,50-59,23375,5457,0
2021-01-14,40-49,10361,5154,0
2021-01-14,60-69,5115,23982,0
2021-01-15,80-89,557,4171,0
2021-01-15,20-29,3196,726,0
2021-01-15,0-19,697,118,0
2021-01-15,50-59,11826,2696,0
2021-01-15,70-79,1195,11488,0
2021-01-15,30-39,4748,1308,0
2021-01-15,90+,112,691,0
2021-01-15,40-49,5934,2003,0
2021-01-15,60-69,2424,12702,0
2021-01-16,20-29,2121,332,0
2021-01-16,0-19,542,65,0
2021-01-16,60-69,1681,9601,0
2021-01-16,80-89,357,3009,0
2021-01-16,90+,76,578,0
2021-01-16,70-79,750,8639,0
2021-01-16,30-39,3378,707,0
2021-01-16,40-49,8266,1283,0
2021-01-16,50-59,12244,1786,0
2021-01-17,70-79,2270,24630,0
2021-01-17,90+,190,1783,0
2021-01-17,30-39,6829,4586,0
2021-01-17,20-29,10418,2575,0
2021-01-17,0-19,2686,311,0
2021-01-17,80-89,1056,9661,0
2021-01-17,40-49,18417,6377,0
2021-01-17,60-69,4492,27168,0
2021-01-17,50-59,21994,7405,0
2021-01-18,20-29,15055,4765,0
2021-01-18,80-89,885,12572,0
2021-01-18,50-59,15897,12822,0
2021-01-18,30-39,7334,8169,0
2021-01-18,40-49,20616,11521,0
2021-01-18,90+,146,2541,0
2021-01-18,60-69,3963,36400,0
2021-01-18,70-79,1922,30794,0
2021-01-18,0-19,3841,734,0
2021-01-19,30-39,9138,9594,0
2021-01-19,60-69,3910,39364,0
2021-01-19,70-79,1960,32865,0
2021-01-19,40-49,25355,13674,0
2021-01-19,80-89,865,15064,0
2021-01-19,90+,203,3847,0
2021-01-19,20-29,14011,6696,0
2021-01-19,0-19,3132,1105,0
2021-01-19,50-59,14167,15470,0
2021-01-20,90+,142,3383,0
2021-01-20,30-39,12695,10776,0
2021-01-20,70-79,1827,32205,0
2021-01-20,60-69,3658,40113,0
2021-01-20,40-49,29707,14834,0
2021-01-20,50-59,12894,18686,0
2021-01-20,0-19,2934,1334,0
2021-01-20,20-29,12049,7887,0
2021-01-20,80-89,818,14388,0
2021-01-21,50-59,11079,25762,0
2021-01-21,60-69,3854,41942,0
2021-01-21,70-79,2059,32947,0
2021-01-21,30-39,13689,13520,0
2021-01-21,90+,213,4017,0
2021-01-21,40-49,26041,18911,0
2021-01-21,20-29,9613,9671,0
2021-01-21,80-89,990,15742,0
2021-01-21,0-19,2279,1740,0
2021-01-22,70-79,928,13718,0
2021-01-22,40-49,15361,8659,0
2021-01-22,30-39,8124,5540,0
2021-01-22,60-69,2076,18522,0
2021-01-22,20-29,3879,3066,0
2021-01-22,50-59,5600,12973,0
2021-01-22,80-89,500,6330,0
2021-01-22,90+,114,1505,0
2021-01-22,0-19,1221,722,0
2021-01-23,40-49,14571,7513,0
2021-01-23,70-79,806,9405,0
2021-01-23,60-69,1578,12436,0
2021-01-23,50-59,5959,11311,0
2021-01-23,90+,106,1493,0
2021-01-23,30-39,6359,3773,0
2021-01-23,0-19,6653,483,0
2021-01-23,20-29,3482,2160,0
2021-01-23,80-89,386,4946,0
2021-01-24,60-69,3635,33281,0
2021-01-24,50-59,8489,27017,0
2021-01-24,0-19,12151,1764,0
2021-01-24,80-89,1002,12566,0
2021-01-24,30-39,10564,11712,0
2021-01-24,90+,221,2993,0
2021-01-24,70-79,1962,24550,0
2021-01-24,20-29,11032,8682,0
2021-01-24,40-49,19958,18001,0
2021-01-25,50-59,9568,28233,0
2021-01-25,20-29,15492,9262,0
2021-01-25,0-19,14697,1864,0
2021-01-25,70-79,2074,22796,0
2021-01-25,40-49,20480,20103,0
2021-01-25,90+,251,2575,0
2021-01-25,60-69,3874,30381,0
2021-01-25,30-39,13364,12355,0
2021-01-25,80-89,1005,11807,0
2021-01-26,50-59,8400,25241,0
2021-01-26,20-29,15549,8324,0
2021-01-26,0-19,14430,1763,0
2021-01-26,80-89,930,10410,0
2021-01-26,30-39,14183,11261,0
2021-01-26,70-79,1956,20407,0
2021-01-26,60-69,3492,28379,0
2021-01-26,40-49,19421,18261,0
2021-01-26,90+,237,2237,0
2021-01-27,0-19,15727,2089,0
2021-01-27,20-29,14345,10235,0
2021-01-27,80-89,848,10044,0
2021-01-27,50-59,8427,23769,0
2021-01-27,60-69,3217,28303,0
2021-01-27,40-49,19642,17550,0
2021-01-27,30-39,13642,11180,0
2021-01-27,90+,229,2276,0
2021-01-27,70-79,1734,19463,0
2021-01-28,20-29,15970,9896,0
2021-01-28,0-19,13366,2125,0
2021-01-28,80-89,679,8931,0
2021-01-28,60-69,2979,27695,0
2021-01-28,40-49,16966,20977,0
2021-01-28,90+,173,1926,0
2021-01-28,50-59,7570,27719,0
2021-01-28,70-79,1512,18147,0
2021-01-28,30-39,20216,13067,0
2021-01-29,90+,42,626,0
2021-01-29,0-19,5628,1584,0
2021-01-29,80-89,260,3161,0
2021-01-29,50-59,3481,14253,0
2021-01-29,20-29,5978,4945,0
2021-01-29,40-49,8742,14187,0
2021-01-29,30-39,10682,7797,0
2021-01-29,70-79,532,6923,0
2021-01-29,60-69,1245,11248,0
2021-01-30,20-29,5168,3127,0
2021-01-30,0-19,4980,905,0
2021-01-30,80-89,175,1809,0
2021-01-30,50-59,3143,9668,0
2021-01-30,70-79,458,3814,0
2021-01-30,40-49,8810,10619,0
2021-01-30,90+,30,391,0
2021-01-30,30-39,10585,5807,0
2021-01-30,60-69,993,6569,0
2021-01-31,80-89,681,3534,0
2021-01-31,40-49,16120,12498,0
2021-01-31,90+,168,741,0
2021-01-31,30-39,21655,7535,0
2021-01-31,70-79,1554,6968,0
2021-01-31,60-69,2958,10819,0
2021-01-31,20-29,13338,4353,0
2021-01-31,0-19,9541,1047,0
2021-01-31,50-59,7229,11932,0
2021-02-01,80-89,844,1667,0
2021-02-01,90+,229,378,0
2021-02-01,70-79,1730,3400,0
2021-02-01,30-39,24210,5027,0
2021-02-01,40-49,14861,8331,0
2021-02-01,60-69,3061,5103,0
2021-02-01,20-29,19533,3032,0
2021-02-01,0-19,10340,579,0
2021-02-01,50-59,7591,7763,0
2021-02-02,50-59,6563,8856,0
2021-02-02,40-49,13317,6357,0
2021-02-02,60-69,2892,4610,0
2021-02-02,0-19,8617,439,0
2021-02-02,80-89,894,1400,0
2021-02-02,20-29,15763,2452,0
2021-02-02,90+,243,292,0
2021-02-02,30-39,19979,3944,0
2021-02-02,70-79,1689,2655,0
2021-02-03,50-59,5768,21546,0
2021-02-03,20-29,14712,3932,0
2021-02-03,80-89,865,1631,0
2021-02-03,0-19,6686,655,0
2021-02-03,60-69,2615,6496,0
2021-02-03,40-49,10642,8113,0
2021-02-03,30-39,17080,5194,0
2021-02-03,90+,237,308,0
2021-02-03,70-79,1570,3470,0
2021-02-04,20-29,22666,6219,0
2021-02-04,0-19,6550,1434,0
2021-02-04,70-79,1200,2780,0
2021-02-04,30-39,23226,7379,0
2021-02-04,40-49,10517,10362,0
2021-02-04,50-59,5258,22730,0
2021-02-04,90+,142,239,0
2021-02-04,80-89,645,1281,0
2021-02-04,60-69,2302,5587,0
2021-02-05,80-89,244,581,0
2021-02-05,0-19,2753,525,0
2021-02-05,40-49,5212,5521,0
2021-02-05,90+,77,113,0
2021-02-05,30-39,11304,4168,0
2021-02-05,20-29,9929,2550,0
2021-02-05,70-79,546,1255,0
2021-02-05,50-59,2705,11432,0
2021-02-05,60-69,1079,2579,0
2021-02-06,20-29,6979,1537,0
2021-02-06,80-89,142,265,0
2021-02-06,0-19,1943,341,0
2021-02-06,60-69,561,1430,0
2021-02-06,30-39,6936,2381,0
2021-02-06,90+,35,56,0
2021-02-06,70-79,264,634,0
2021-02-06,40-49,3080,5496,0
2021-02-06,50-59,1628,10045,0
2021-02-07,0-19,4640,1828,0
2021-02-07,20-29,16779,9260,0
2021-02-07,30-39,16504,7404,0
2021-02-07,70-79,1123,2451,0
2021-02-07,60-69,2092,4737,0
2021-02-07,40-49,7779,18390,0
2021-02-07,90+,166,226,0
2021-02-07,80-89,562,1177,0
2021-02-07,50-59,4368,23169,0
2021-02-08,90+,135,163,0
2021-02-08,70-79,1120,2023,0
2021-02-08,30-39,18055,6966,0
2021-02-08,50-59,4488,16483,0
2021-02-08,80-89,569,926,0
2021-02-08,0-19,4305,2586,0
2021-02-08,20-29,19930,12172,0
2021-02-08,40-49,7836,19978,0
2021-02-08,60-69,2107,4047,0
2021-02-09,70-79,1254,1956,0
2021-02-09,20-29,22786,12083,0
2021-02-09,90+,205,189,0
2021-02-09,60-69,2568,3826,0
2021-02-09,30-39,19100,8347,0
2021-02-09,40-49,9112,23299,0
2021-02-09,80-89,630,852,0
2021-02-09,50-59,5428,14193,0
2021-02-09,0-19,5156,2700,0
2021-02-10,40-49,9830,27821,0
2021-02-10,70-79,1302,1842,0
2021-02-10,60-69,2706,3704,0
2021-02-10,90+,152,134,0
2021-02-10,80-89,574,828,0
2021-02-10,0-19,5404,2349,0
2021-02-10,30-39,20616,11517,0
2021-02-10,20-29,24091,10805,0
2021-02-10,50-59,5752,13156,0
2021-02-11,90+,136,200,0
2021-02-11,30-39,23188,13670,0
2021-02-11,70-79,1409,2108,0
2021-02-11,60-69,3142,3932,0
2021-02-11,40-49,11897,26512,0
2021-02-11,50-59,6833,11675,0
2021-02-11,80-89,637,1010,0
2021-02-11,0-19,6399,2293,0
2021-02-11,20-29,27392,10568,0
2021-02-12,60-69,1460,2112,0
2021-02-12,50-59,3475,5888,0
2021-02-12,40-49,5902,15138,0
2021-02-12,90+,61,102,0
2021-02-12,30-39,11148,7811,0
2021-02-12,70-79,605,951,0
2021-02-12,20-29,12974,3860,0
2021-02-12,0-19,3092,1159,0
2021-02-12,80-89,286,480,0
2021-02-13,70-79,378,624,0
2021-02-13,30-39,7333,4643,0
2021-02-13,90+,26,72,0
2021-02-13,40-49,4286,11651,0
2021-02-13,60-69,1022,1309,0
2021-02-13,50-59,2592,5385,0
2021-02-13,20-29,9120,2373,0
2021-02-13,0-19,2472,4048,0
2021-02-13,80-89,170,278,0
2021-02-14,50-59,6969,8971,0
2021-02-14,60-69,3541,3674,0
2021-02-14,70-79,1664,2014,0
2021-02-14,30-39,19912,11308,0
2021-02-14,40-49,11643,21927,0
2021-02-14,90+,148,213,0
2021-02-14,20-29,23326,10009,0
2021-02-14,80-89,718,953,0
2021-02-14,0-19,6890,9908,0
2021-02-15,50-59,7854,9526,0
2021-02-15,60-69,3864,4025,0
2021-02-15,0-19,7497,12379,0
2021-02-15,80-89,813,1043,0
2021-02-15,20-29,25107,13199,0
2021-02-15,70-79,1751,2131,0
2021-02-15,40-49,12790,20500,0
2021-02-15,90+,207,282,0
2021-02-15,30-39,21536,12515,0
2021-02-16,20-29,26543,15883,0
2021-02-16,0-19,8483,14370,0
2021-02-16,50-59,7603,8476,0
2021-02-16,30-39,21423,13737,0
2021-02-16,70-79,1818,1967,0
2021-02-16,80-89,773,970,0
2021-02-16,90+,167,238,0
2021-02-16,40-49,12696,19002,0
2021-02-16,60-69,3826,3526,0
2021-02-17,0-19,6347,15010,0
2021-02-17,20-29,20643,15883,0
2021-02-17,50-59,5402,7960,0
2021-02-17,30-39,15901,12857,0
2021-02-17,90+,87,160,0
2021-02-17,80-89,372,718,0
2021-02-17,60-69,2393,3010,0
2021-02-17,70-79,966,1609,0
2021-02-17,40-49,9762,18294,0
2021-02-18,20-29,21869,15684,0
2021-02-18,80-89,388,644,0
2021-02-18,0-19,7293,14094,0
2021-02-18,60-69,2878,3064,0
2021-02-18,70-79,1053,1509,0
2021-02-18,30-39,17973,18791,0
2021-02-18,40-49,11174,17734,0
2021-02-18,90+,69,147,0
2021-02-18,50-59,6351,7962,0
2021-02-19,0-19,4224,6176,0
2021-02-19,20-29,12684,6225,0
2021-02-19,80-89,188,268,0
2021-02-19,60-69,1487,1340,0
2021-02-19,30-39,10572,10368,0
2021-02-19,70-79,483,605,0
2021-02-19,90+,25,55,0
2021-02-19,40-49,6388,9332,0
2021-02-19,50-59,3536,3696,0
2021-02-20,80-89,161,146,0
2021-02-20,90+,28,21,0
2021-02-20,0-19,3900,4457,0
2021-02-20,20-29,10148,4055,0
2021-02-20,50-59,2938,2888,0
2021-02-20,60-69,1136,871,0
2021-02-20,30-39,7628,8141,0
2021-02-20,40-49,5226,7714,0
2021-02-20,70-79,438,395,0
2021-02-21,20-29,23857,14413,0
2021-02-21,30-39,20591,22685,0
2021-02-21,70-79,1835,1737,0
2021-02-21,90+,173,212,0
2021-02-21,80-89,767,825,0
2021-02-21,0-19,8551,10061,0
2021-02-21,50-59,7310,7611,0
2021-02-21,40-49,12455,17571,0
2021-02-21,60-69,3806,3242,0
2021-02-22,20-29,25479,18493,0
2021-02-22,80-89,879,878,0
2021-02-22,0-19,8651,9550,0
2021-02-22,50-59,7704,7648,0
2021-02-22,60-69,4175,3223,0
2021-02-22,90+,207,245,0
2021-02-22,70-79,2123,1764,0
2021-02-22,30-39,22729,23533,0
2021-02-22,40-49,13003,15161,0
2021-02-23,20-29,23941,16262,0
2021-02-23,0-19,8454,9128,0
2021-02-23,90+,157,229,0
2021-02-23,60-69,3680,2881,0
2021-02-23,80-89,845,886,0
2021-02-23,70-79,1858,1693,0
2021-02-23,40-49,11644,13054,0
2021-02-23,30-39,19666,19626,0
2021-02-23,50-59,6979,6594,0
2021-02-24,90+,156,195,0
2021-02-24,30-39,15167,17210,0
2021-02-24,70-79,1572,1582,0
2021-02-24,20-29,18776,15890,0
2021-02-24,80-89,710,816,0
2021-02-24,0-19,6836,7812,0
2021-02-24,60-69,2957,2699,0
2021-02-24,40-49,9280,10926,0
2021-02-24,50-59,5507,5868,0
2021-02-25,80-89,623,657,0
2021-02-25,20-29,15262,18343,0
2021-02-25,50-59,5093,5355,0
2021-02-25,40-49,8289,10278,0
2021-02-25,90+,142,164,0
2021-02-25,30-39,12909,20717,0
2021-02-25,70-79,1241,1246,0
2021-02-25,60-69,2655,2309,0
2021-02-25,0-19,5393,5616,0
2021-02-26,30-39,6703,10554,0
2021-02-26,40-49,4289,5330,0
2021-02-26,70-79,535,538,0
2021-02-26,90+,51,67,0
2021-02-26,80-89,289,249,0
2021-02-26,60-69,1196,1079,0
2021-02-26,20-29,7508,8679,0
2021-02-26,0-19,2647,2725,0
2021-02-26,50-59,2599,2736,0
2021-02-27,30-39,4162,6907,0
2021-02-27,70-79,344,271,0
2021-02-27,90+,17,34,0
2021-02-27,60-69,741,560,0
2021-02-27,40-49,2872,3169,0
2021-02-27,80-89,144,127,0
2021-02-27,50-59,1726,1606,0
2021-02-27,20-29,5753,6531,0
2021-02-27,0-19,2527,1963,0
2021-02-28,60-69,2155,2079,0
2021-02-28,50-59,3831,4531,0
2021-02-28,80-89,543,593,0
2021-02-28,30-39,9893,17095,0
2021-02-28,40-49,6403,8630,0
2021-02-28,20-29,11375,16631,0
2021-02-28,70-79,1114,1138,0
2021-02-28,90+,94,170,0
2021-02-28,0-19,4831,4947,0
2021-03-01,30-39,11141,18945,0
2021-03-01,70-79,1341,1161,0
2021-03-01,60-69,2618,2181,0
2021-03-01,40-49,7137,8181,0
2021-03-01,20-29,13030,20651,0
2021-03-01,50-59,4506,4533,0
2021-03-01,0-19,5067,4931,0
2021-03-01,80-89,619,615,0
2021-03-01,90+,129,143,0
2021-03-02,50-59,4371,5121,0
2021-03-02,70-79,1436,1204,0
2021-03-02,60-69,2798,2427,0
2021-03-02,40-49,6485,9040,0
2021-03-02,30-39,9503,19079,0
2021-03-02,90+,121,223,0
2021-03-02,0-19,4278,4869,0
2021-03-02,80-89,574,648,0
2021-03-02,20-29,11475,22056,0
2021-03-03,50-59,4440,5543,0
2021-03-03,60-69,2846,2662,0
2021-03-03,80-89,639,618,0
2021-03-03,0-19,4855,5088,0
2021-03-03,20-29,11588,22779,0
2021-03-03,70-79,1546,1308,0
2021-03-03,30-39,9298,19328,0
2021-03-03,90+,131,182,0
2021-03-03,40-49,6536,9160,0
2021-03-04,0-19,4457,6146,0
2021-03-04,20-29,10915,26502,0
2021-03-04,50-59,4349,6704,0
2021-03-04,30-39,9033,22810,0
2021-03-04,70-79,1223,1416,0
2021-03-04,40-49,6404,11546,0
2021-03-04,90+,107,142,0
2021-03-04,60-69,2551,3097,0
2021-03-04,80-89,517,638,0
2021-03-05,50-59,1982,3408,0
2021-03-05,20-29,4727,13605,0
2021-03-05,80-89,206,267,0
2021-03-05,0-19,1763,3013,0
2021-03-05,90+,40,64,0
2021-03-05,70-79,492,624,0
2021-03-05,40-49,2951,6188,0
2021-03-05,30-39,4034,11744,0
2021-03-05,60-69,1024,1463,0
2021-03-06,0-19,1444,2099,0
2021-03-06,20-29,3236,8319,0
2021-03-06,80-89,77,155,0
2021-03-06,50-59,1168,2467,0
2021-03-06,60-69,586,935,0
2021-03-06,30-39,2146,6996,0
2021-03-06,70-79,255,352,0
2021-03-06,90+,21,29,0
2021-03-06,40-49,1688,3951,0
2021-03-07,20-29,8763,23074,0
2021-03-07,0-19,3876,6530,0
2021-03-07,90+,135,131,0
2021-03-07,40-49,4766,11078,0
2021-03-07,60-69,2020,3335,0
2021-03-07,80-89,532,684,0
2021-03-07,50-59,3134,6548,0
2021-03-07,70-79,1093,1605,0
2021-03-07,30-39,6715,19774,0
2021-03-08,90+,106,208,0
2021-03-08,80-89,423,773,0
2021-03-08,20-29,8090,22564,0
2021-03-08,50-59,2750,7068,0
2021-03-08,0-19,3351,6382,0
2021-03-08,30-39,5965,19531,0
2021-03-08,40-49,4016,11446,0
2021-03-08,70-79,902,1651,0
2021-03-08,60-69,1635,3570,0
2021-03-09,20-29,7717,24101,0
2021-03-09,80-89,429,766,0
2021-03-09,0-19,3350,7465,0
2021-03-09,50-59,2655,7084,0
2021-03-09,30-39,5849,19877,0
2021-03-09,90+,88,166,0
2021-03-09,70-79,815,1719,0
2021-03-09,40-49,4015,11780,0
2021-03-09,60-69,1700,3558,0
2021-03-10,80-89,341,422,0
2021-03-10,60-69,1291,2377,0
2021-03-10,70-79,714,1031,0
2021-03-10,40-49,3465,9024,0
2021-03-10,90+,88,94,0
2021-03-10,30-39,4932,14960,0
2021-03-10,20-29,6733,19580,0
2021-03-10,0-19,3465,5986,0
2021-03-10,50-59,2171,5106,0
2021-03-11,80-89,321,403,0
2021-03-11,40-49,3590,11261,0
2021-03-11,30-39,5241,18391,0
2021-03-11,60-69,1320,2882,0
2021-03-11,90+,74,62,0
2021-03-11,70-79,595,1071,0
2021-03-11,0-19,3099,6902,0
2021-03-11,20-29,6705,21671,0
2021-03-11,50-59,2200,6332,0
2021-03-12,50-59,1024,3834,0
2021-03-12,60-69,561,1511,0
2021-03-12,40-49,1763,6802,0
2021-03-12,20-29,3413,13139,0
2021-03-12,0-19,1427,4058,0
2021-03-12,80-89,112,182,0
2021-03-12,70-79,276,483,0
2021-03-12,30-39,2552,11304,0
2021-03-12,90+,28,20,0
2021-03-13,50-59,715,2351,0
2021-03-13,20-29,2551,8201,0
2021-03-13,80-89,53,148,0
2021-03-13,0-19,1122,2997,0
2021-03-13,60-69,330,931,0
2021-03-13,70-79,139,337,0
2021-03-13,30-39,1682,6100,0
2021-03-13,90+,<15,26,0
2021-03-13,40-49,1277,4104,0
2021-03-14,20-29,6308,22257,0
2021-03-14,0-19,2977,7360,0
2021-03-14,70-79,581,1687,0
2021-03-14,30-39,4561,19724,0
2021-03-14,40-49,2988,11736,0
2021-03-14,50-59,1921,6770,0
2021-03-14,80-89,287,693,0
2021-03-14,60-69,1183,3500,0
