Week,Age_group,Type_of_event,event_after_1st_dose,event_after_2nd_dose,event_for_not_vaccinated
2021-01-17 - 2021-01-23,50-59,Hospitalization,54.0,<5,155.0
2021-01-17 - 2021-01-23,50-59,Death,<5,,15.0
2021-01-17 - 2021-01-23,60-69,Hospitalization,119.0,<5,158.0
2021-01-17 - 2021-01-23,60-69,Death,24.0,,36.0
2021-01-17 - 2021-01-23,70-79,Hospitalization,135.0,19.0,131.0
2021-01-17 - 2021-01-23,70-79,Death,34.0,<5,63.0
2021-01-17 - 2021-01-23,80-89,Hospitalization,167.0,8.0,115.0
2021-01-17 - 2021-01-23,80-89,Death,58.0,<5,61.0
2021-01-17 - 2021-01-23,90+,Hospitalization,80.0,7.0,61.0
2021-01-17 - 2021-01-23,90+,Death,33.0,,30.0
2021-01-24 - 2021-01-30,0-19,Hospitalization,<5,,102.0
2021-01-24 - 2021-01-30,0-19,Death,,,<5
2021-01-24 - 2021-01-30,20-29,Hospitalization,<5,<5,112.0
2021-01-24 - 2021-01-30,20-29,Death,<5,,
2021-01-24 - 2021-01-30,30-39,Hospitalization,7.0,<5,108.0
2021-01-24 - 2021-01-30,30-39,Death,<5,,
2021-01-24 - 2021-01-30,40-49,Hospitalization,18.0,<5,141.0
2021-01-24 - 2021-01-30,40-49,Death,,<5,<5
2021-01-24 - 2021-01-30,50-59,Hospitalization,43.0,5.0,146.0
2021-01-24 - 2021-01-30,50-59,Death,7.0,,19.0
2021-01-24 - 2021-01-30,60-69,Hospitalization,64.0,17.0,131.0
2021-01-24 - 2021-01-30,60-69,Death,23.0,<5,38.0
2021-01-24 - 2021-01-30,70-79,Hospitalization,96.0,38.0,109.0
2021-01-24 - 2021-01-30,70-79,Death,39.0,<5,51.0
2021-01-24 - 2021-01-30,80-89,Hospitalization,78.0,52.0,107.0
2021-01-24 - 2021-01-30,80-89,Death,49.0,6.0,66.0
2021-01-24 - 2021-01-30,90+,Hospitalization,27.0,23.0,37.0
2021-01-24 - 2021-01-30,90+,Death,33.0,7.0,33.0
2021-01-31 - 2021-02-06,0-19,Hospitalization,<5,<5,100.0
2021-01-31 - 2021-02-06,0-19,Death,,,
2021-01-31 - 2021-02-06,20-29,Hospitalization,12.0,<5,131.0
2021-01-31 - 2021-02-06,20-29,Death,,,<5
2021-01-31 - 2021-02-06,30-39,Hospitalization,9.0,<5,151.0
2021-01-31 - 2021-02-06,30-39,Death,,,<5
2021-01-31 - 2021-02-06,40-49,Hospitalization,38.0,6.0,144.0
2021-01-31 - 2021-02-06,40-49,Death,<5,,6.0
2021-01-31 - 2021-02-06,50-59,Hospitalization,43.0,<5,163.0
2021-01-31 - 2021-02-06,50-59,Death,<5,,5.0
2021-01-31 - 2021-02-06,60-69,Hospitalization,45.0,18.0,142.0
2021-01-31 - 2021-02-06,60-69,Death,15.0,5.0,33.0
2021-01-31 - 2021-02-06,70-79,Hospitalization,36.0,48.0,112.0
2021-01-31 - 2021-02-06,70-79,Death,28.0,11.0,37.0
2021-01-31 - 2021-02-06,80-89,Hospitalization,53.0,52.0,99.0
2021-01-31 - 2021-02-06,80-89,Death,42.0,25.0,53.0
2021-01-31 - 2021-02-06,90+,Hospitalization,20.0,27.0,38.0
2021-01-31 - 2021-02-06,90+,Death,28.0,16.0,32.0
2021-02-07 - 2021-02-13,0-19,Hospitalization,<5,,82.0
2021-02-07 - 2021-02-13,0-19,Death,,,
2021-02-07 - 2021-02-13,20-29,Hospitalization,6.0,<5,122.0
2021-02-07 - 2021-02-13,20-29,Death,,,<5
2021-02-07 - 2021-02-13,30-39,Hospitalization,25.0,<5,145.0
2021-02-07 - 2021-02-13,30-39,Death,<5,,5.0
2021-02-07 - 2021-02-13,40-49,Hospitalization,31.0,5.0,146.0
2021-02-07 - 2021-02-13,40-49,Death,,,<5
2021-02-07 - 2021-02-13,50-59,Hospitalization,27.0,10.0,141.0
2021-02-07 - 2021-02-13,50-59,Death,<5,<5,13.0
2021-02-07 - 2021-02-13,60-69,Hospitalization,29.0,9.0,148.0
2021-02-07 - 2021-02-13,60-69,Death,7.0,,28.0
2021-02-07 - 2021-02-13,70-79,Hospitalization,21.0,37.0,111.0
2021-02-07 - 2021-02-13,70-79,Death,22.0,13.0,35.0
2021-02-07 - 2021-02-13,80-89,Hospitalization,39.0,36.0,74.0
2021-02-07 - 2021-02-13,80-89,Death,18.0,21.0,34.0
2021-02-07 - 2021-02-13,90+,Hospitalization,5.0,6.0,30.0
2021-02-07 - 2021-02-13,90+,Death,7.0,14.0,23.0
2021-02-14 - 2021-02-20,0-19,Hospitalization,<5,,83.0
2021-02-14 - 2021-02-20,0-19,Death,,,
2021-02-14 - 2021-02-20,20-29,Hospitalization,12.0,<5,123.0
2021-02-14 - 2021-02-20,20-29,Death,,,<5
2021-02-14 - 2021-02-20,30-39,Hospitalization,13.0,<5,127.0
2021-02-14 - 2021-02-20,30-39,Death,<5,,<5
2021-02-14 - 2021-02-20,40-49,Hospitalization,17.0,<5,132.0
2021-02-14 - 2021-02-20,40-49,Death,<5,,5.0
2021-02-14 - 2021-02-20,50-59,Hospitalization,24.0,7.0,123.0
2021-02-14 - 2021-02-20,50-59,Death,<5,,12.0
2021-02-14 - 2021-02-20,60-69,Hospitalization,27.0,10.0,76.0
2021-02-14 - 2021-02-20,60-69,Death,10.0,<5,22.0
2021-02-14 - 2021-02-20,70-79,Hospitalization,25.0,30.0,95.0
2021-02-14 - 2021-02-20,70-79,Death,10.0,7.0,39.0
2021-02-14 - 2021-02-20,80-89,Hospitalization,11.0,23.0,80.0
2021-02-14 - 2021-02-20,80-89,Death,18.0,13.0,39.0
2021-02-14 - 2021-02-20,90+,Hospitalization,6.0,7.0,23.0
2021-02-14 - 2021-02-20,90+,Death,5.0,5.0,12.0
2021-02-21 - 2021-02-27,0-19,Hospitalization,<5,<5,83.0
2021-02-21 - 2021-02-27,0-19,Death,,,<5
2021-02-21 - 2021-02-27,20-29,Hospitalization,26.0,,111.0
2021-02-21 - 2021-02-27,20-29,Death,<5,,<5
2021-02-21 - 2021-02-27,30-39,Hospitalization,28.0,<5,103.0
2021-02-21 - 2021-02-27,30-39,Death,,,5.0
2021-02-21 - 2021-02-27,40-49,Hospitalization,26.0,<5,117.0
2021-02-21 - 2021-02-27,40-49,Death,<5,,7.0
2021-02-21 - 2021-02-27,50-59,Hospitalization,26.0,8.0,135.0
2021-02-21 - 2021-02-27,50-59,Death,<5,<5,14.0
2021-02-21 - 2021-02-27,60-69,Hospitalization,19.0,21.0,100.0
2021-02-21 - 2021-02-27,60-69,Death,<5,<5,21.0
2021-02-21 - 2021-02-27,70-79,Hospitalization,14.0,18.0,84.0
2021-02-21 - 2021-02-27,70-79,Death,12.0,<5,34.0
2021-02-21 - 2021-02-27,80-89,Hospitalization,14.0,18.0,57.0
2021-02-21 - 2021-02-27,80-89,Death,8.0,9.0,30.0
2021-02-21 - 2021-02-27,90+,Hospitalization,<5,<5,27.0
2021-02-21 - 2021-02-27,90+,Death,5.0,<5,11.0
2021-02-28 - 2021-03-06,0-19,Hospitalization,<5,,95.0
2021-02-28 - 2021-03-06,0-19,Death,,,
2021-02-28 - 2021-03-06,20-29,Hospitalization,8.0,,82.0
2021-02-28 - 2021-03-06,20-29,Death,,,<5
2021-02-28 - 2021-03-06,30-39,Hospitalization,30.0,<5,87.0
2021-02-28 - 2021-03-06,30-39,Death,,,<5
2021-02-28 - 2021-03-06,40-49,Hospitalization,34.0,<5,92.0
2021-02-28 - 2021-03-06,40-49,Death,<5,,6.0
2021-02-28 - 2021-03-06,50-59,Hospitalization,42.0,6.0,95.0
2021-02-28 - 2021-03-06,50-59,Death,<5,,10.0
2021-02-28 - 2021-03-06,60-69,Hospitalization,36.0,16.0,98.0
2021-02-28 - 2021-03-06,60-69,Death,6.0,<5,9.0
2021-02-28 - 2021-03-06,70-79,Hospitalization,21.0,18.0,82.0
2021-02-28 - 2021-03-06,70-79,Death,7.0,7.0,24.0
2021-02-28 - 2021-03-06,80-89,Hospitalization,17.0,23.0,68.0
2021-02-28 - 2021-03-06,80-89,Death,8.0,<5,29.0
2021-02-28 - 2021-03-06,90+,Hospitalization,<5,5.0,23.0
2021-02-28 - 2021-03-06,90+,Death,,,12.0
2021-03-07 - 2021-03-13,0-19,Hospitalization,,,72.0
2021-03-07 - 2021-03-13,0-19,Death,,,
2021-03-07 - 2021-03-13,20-29,Hospitalization,17.0,<5,57.0
2021-03-07 - 2021-03-13,20-29,Death,,,
2021-03-07 - 2021-03-13,30-39,Hospitalization,19.0,<5,92.0
2021-03-07 - 2021-03-13,30-39,Death,,,<5
2021-03-07 - 2021-03-13,40-49,Hospitalization,22.0,6.0,95.0
2021-03-07 - 2021-03-13,40-49,Death,,,8.0
2021-03-07 - 2021-03-13,50-59,Hospitalization,26.0,9.0,90.0
2021-03-07 - 2021-03-13,50-59,Death,,,9.0
2021-03-07 - 2021-03-13,60-69,Hospitalization,30.0,15.0,67.0
2021-03-07 - 2021-03-13,60-69,Death,<5,<5,12.0
2021-03-07 - 2021-03-13,70-79,Hospitalization,22.0,18.0,52.0
2021-03-07 - 2021-03-13,70-79,Death,9.0,8.0,22.0
2021-03-07 - 2021-03-13,80-89,Hospitalization,11.0,11.0,40.0
2021-03-07 - 2021-03-13,80-89,Death,7.0,<5,21.0
2021-03-07 - 2021-03-13,90+,Hospitalization,<5,<5,10.0
2021-03-07 - 2021-03-13,90+,Death,<5,<5,7.0
2021-03-14 - 2021-03-20,0-19,Hospitalization,,<5,49.0
2021-03-14 - 2021-03-20,0-19,Death,,,
2021-03-14 - 2021-03-20,20-29,Hospitalization,7.0,<5,59.0
2021-03-14 - 2021-03-20,20-29,Death,,,<5
2021-03-14 - 2021-03-20,30-39,Hospitalization,12.0,<5,43.0
2021-03-14 - 2021-03-20,30-39,Death,,,<5
2021-03-14 - 2021-03-20,40-49,Hospitalization,10.0,5.0,64.0
2021-03-14 - 2021-03-20,40-49,Death,,,<5
2021-03-14 - 2021-03-20,50-59,Hospitalization,14.0,6.0,52.0
2021-03-14 - 2021-03-20,50-59,Death,<5,<5,5.0
2021-03-14 - 2021-03-20,60-69,Hospitalization,16.0,8.0,46.0
2021-03-14 - 2021-03-20,60-69,Death,5.0,<5,12.0
2021-03-14 - 2021-03-20,70-79,Hospitalization,18.0,12.0,45.0
2021-03-14 - 2021-03-20,70-79,Death,5.0,<5,15.0
2021-03-14 - 2021-03-20,80-89,Hospitalization,7.0,14.0,52.0
2021-03-14 - 2021-03-20,80-89,Death,<5,<5,16.0
2021-03-14 - 2021-03-20,90+,Hospitalization,<5,5.0,13.0
2021-03-14 - 2021-03-20,90+,Death,<5,<5,9.0
2021-03-21 - 2021-03-27,0-19,Hospitalization,<5,,32.0
2021-03-21 - 2021-03-27,0-19,Death,,,<5
2021-03-21 - 2021-03-27,20-29,Hospitalization,<5,<5,22.0
2021-03-21 - 2021-03-27,20-29,Death,,,<5
2021-03-21 - 2021-03-27,30-39,Hospitalization,7.0,<5,33.0
2021-03-21 - 2021-03-27,30-39,Death,,,<5
2021-03-21 - 2021-03-27,40-49,Hospitalization,10.0,8.0,28.0
2021-03-21 - 2021-03-27,40-49,Death,<5,,<5
2021-03-21 - 2021-03-27,50-59,Hospitalization,8.0,7.0,29.0
2021-03-21 - 2021-03-27,50-59,Death,,,<5
2021-03-21 - 2021-03-27,60-69,Hospitalization,6.0,10.0,36.0
2021-03-21 - 2021-03-27,60-69,Death,<5,5.0,9.0
2021-03-21 - 2021-03-27,70-79,Hospitalization,7.0,10.0,28.0
2021-03-21 - 2021-03-27,70-79,Death,5.0,<5,14.0
2021-03-21 - 2021-03-27,80-89,Hospitalization,<5,16.0,32.0
2021-03-21 - 2021-03-27,80-89,Death,<5,6.0,16.0
2021-03-21 - 2021-03-27,90+,Hospitalization,<5,<5,12.0
2021-03-21 - 2021-03-27,90+,Death,,<5,6.0
2021-03-28 - 2021-04-03,0-19,Hospitalization,,,12.0
2021-03-28 - 2021-04-03,0-19,Death,,,
2021-03-28 - 2021-04-03,20-29,Hospitalization,<5,<5,28.0
2021-03-28 - 2021-04-03,20-29,Death,,,
2021-03-28 - 2021-04-03,30-39,Hospitalization,<5,<5,16.0
2021-03-28 - 2021-04-03,30-39,Death,,,<5
2021-03-28 - 2021-04-03,40-49,Hospitalization,<5,<5,28.0
2021-03-28 - 2021-04-03,40-49,Death,<5,,<5
2021-03-28 - 2021-04-03,50-59,Hospitalization,<5,5.0,20.0
2021-03-28 - 2021-04-03,50-59,Death,<5,,6.0
2021-03-28 - 2021-04-03,60-69,Hospitalization,5.0,7.0,23.0
2021-03-28 - 2021-04-03,60-69,Death,<5,<5,14.0
2021-03-28 - 2021-04-03,70-79,Hospitalization,<5,6.0,17.0
2021-03-28 - 2021-04-03,70-79,Death,<5,<5,19.0
2021-03-28 - 2021-04-03,80-89,Hospitalization,<5,<5,15.0
2021-03-28 - 2021-04-03,80-89,Death,<5,<5,14.0
2021-03-28 - 2021-04-03,90+,Hospitalization,,<5,<5
2021-03-28 - 2021-04-03,90+,Death,,,7.0
2021-04-04 - 2021-04-10,0-19,Hospitalization,<5,,20.0
2021-04-04 - 2021-04-10,0-19,Death,,,
2021-04-04 - 2021-04-10,20-29,Hospitalization,,<5,22.0
2021-04-04 - 2021-04-10,20-29,Death,,,
2021-04-04 - 2021-04-10,30-39,Hospitalization,<5,<5,16.0
2021-04-04 - 2021-04-10,30-39,Death,,,<5
2021-04-04 - 2021-04-10,40-49,Hospitalization,<5,,11.0
2021-04-04 - 2021-04-10,40-49,Death,,,<5
2021-04-04 - 2021-04-10,50-59,Hospitalization,<5,<5,18.0
2021-04-04 - 2021-04-10,50-59,Death,<5,,<5
2021-04-04 - 2021-04-10,60-69,Hospitalization,7.0,<5,19.0
2021-04-04 - 2021-04-10,60-69,Death,<5,<5,8.0
2021-04-04 - 2021-04-10,70-79,Hospitalization,<5,7.0,21.0
2021-04-04 - 2021-04-10,70-79,Death,,5.0,10.0
2021-04-04 - 2021-04-10,80-89,Hospitalization,<5,<5,17.0
2021-04-04 - 2021-04-10,80-89,Death,<5,<5,14.0
2021-04-04 - 2021-04-10,90+,Hospitalization,<5,<5,<5
2021-04-04 - 2021-04-10,90+,Death,,<5,<5
2021-04-11 - 2021-04-17,0-19,Hospitalization,,<5,9.0
2021-04-11 - 2021-04-17,0-19,Death,,,
2021-04-11 - 2021-04-17,20-29,Hospitalization,<5,,13.0
2021-04-11 - 2021-04-17,20-29,Death,,,<5
2021-04-11 - 2021-04-17,30-39,Hospitalization,,,10.0
2021-04-11 - 2021-04-17,30-39,Death,,,
2021-04-11 - 2021-04-17,40-49,Hospitalization,,,6.0
2021-04-11 - 2021-04-17,40-49,Death,<5,,<5
2021-04-11 - 2021-04-17,50-59,Hospitalization,<5,<5,<5
2021-04-11 - 2021-04-17,50-59,Death,,<5,<5
2021-04-11 - 2021-04-17,60-69,Hospitalization,<5,9.0,9.0
2021-04-11 - 2021-04-17,60-69,Death,<5,<5,5.0
2021-04-11 - 2021-04-17,70-79,Hospitalization,<5,<5,16.0
2021-04-11 - 2021-04-17,70-79,Death,<5,<5,7.0
2021-04-11 - 2021-04-17,80-89,Hospitalization,,<5,8.0
2021-04-11 - 2021-04-17,80-89,Death,<5,<5,6.0
2021-04-11 - 2021-04-17,90+,Hospitalization,,<5,<5
2021-04-11 - 2021-04-17,90+,Death,<5,,<5
2021-04-18 - 2021-04-24,0-19,Hospitalization,,,12.0
2021-04-18 - 2021-04-24,0-19,Death,,,
2021-04-18 - 2021-04-24,20-29,Hospitalization,,,<5
2021-04-18 - 2021-04-24,20-29,Death,,,
2021-04-18 - 2021-04-24,30-39,Hospitalization,<5,,5.0
2021-04-18 - 2021-04-24,30-39,Death,,,
2021-04-18 - 2021-04-24,40-49,Hospitalization,<5,,7.0
2021-04-18 - 2021-04-24,40-49,Death,,,<5
2021-04-18 - 2021-04-24,50-59,Hospitalization,,,<5
2021-04-18 - 2021-04-24,50-59,Death,,<5,<5
2021-04-18 - 2021-04-24,60-69,Hospitalization,<5,<5,8.0
2021-04-18 - 2021-04-24,60-69,Death,,,5.0
2021-04-18 - 2021-04-24,70-79,Hospitalization,<5,<5,7.0
2021-04-18 - 2021-04-24,70-79,Death,<5,,<5
2021-04-18 - 2021-04-24,80-89,Hospitalization,,5.0,5.0
2021-04-18 - 2021-04-24,80-89,Death,<5,<5,<5
2021-04-18 - 2021-04-24,90+,Hospitalization,,<5,<5
2021-04-18 - 2021-04-24,90+,Death,,<5,<5
2021-04-25 - 2021-05-01,0-19,Hospitalization,,,6.0
2021-04-25 - 2021-05-01,0-19,Death,,,
2021-04-25 - 2021-05-01,20-29,Hospitalization,<5,,8.0
2021-04-25 - 2021-05-01,20-29,Death,,,
2021-04-25 - 2021-05-01,30-39,Hospitalization,<5,,<5
2021-04-25 - 2021-05-01,30-39,Death,,,
2021-04-25 - 2021-05-01,40-49,Hospitalization,,,6.0
2021-04-25 - 2021-05-01,40-49,Death,,,<5
2021-04-25 - 2021-05-01,50-59,Hospitalization,<5,<5,5.0
2021-04-25 - 2021-05-01,50-59,Death,<5,<5,<5
2021-04-25 - 2021-05-01,60-69,Hospitalization,,<5,5.0
2021-04-25 - 2021-05-01,60-69,Death,<5,<5,<5
2021-04-25 - 2021-05-01,70-79,Hospitalization,,,6.0
2021-04-25 - 2021-05-01,70-79,Death,,,<5
2021-04-25 - 2021-05-01,80-89,Hospitalization,,<5,<5
2021-04-25 - 2021-05-01,80-89,Death,<5,,<5
2021-04-25 - 2021-05-01,90+,Hospitalization,,,
2021-04-25 - 2021-05-01,90+,Death,,,
2021-05-02 - 2021-05-08,0-19,Hospitalization,,,7.0
2021-05-02 - 2021-05-08,0-19,Death,,,
2021-05-02 - 2021-05-08,20-29,Hospitalization,<5,<5,<5
2021-05-02 - 2021-05-08,20-29,Death,,,
2021-05-02 - 2021-05-08,30-39,Hospitalization,,<5,<5
2021-05-02 - 2021-05-08,30-39,Death,,,
2021-05-02 - 2021-05-08,40-49,Hospitalization,,,<5
2021-05-02 - 2021-05-08,40-49,Death,,,<5
2021-05-02 - 2021-05-08,50-59,Hospitalization,,<5,<5
2021-05-02 - 2021-05-08,50-59,Death,,,<5
2021-05-02 - 2021-05-08,60-69,Hospitalization,<5,<5,<5
2021-05-02 - 2021-05-08,60-69,Death,,,<5
2021-05-02 - 2021-05-08,70-79,Hospitalization,<5,<5,<5
2021-05-02 - 2021-05-08,70-79,Death,,<5,<5
2021-05-02 - 2021-05-08,80-89,Hospitalization,,,<5
2021-05-02 - 2021-05-08,80-89,Death,,<5,<5
2021-05-02 - 2021-05-08,90+,Hospitalization,,,<5
2021-05-02 - 2021-05-08,90+,Death,,,<5
2021-05-09 - 2021-05-15,0-19,Hospitalization,,<5,<5
2021-05-09 - 2021-05-15,0-19,Death,,,
2021-05-09 - 2021-05-15,20-29,Hospitalization,,,<5
2021-05-09 - 2021-05-15,20-29,Death,,,
2021-05-09 - 2021-05-15,30-39,Hospitalization,,,<5
2021-05-09 - 2021-05-15,30-39,Death,,,
2021-05-09 - 2021-05-15,40-49,Hospitalization,<5,,<5
2021-05-09 - 2021-05-15,40-49,Death,,,
2021-05-09 - 2021-05-15,50-59,Hospitalization,,,<5
2021-05-09 - 2021-05-15,50-59,Death,,,<5
2021-05-09 - 2021-05-15,60-69,Hospitalization,<5,<5,<5
2021-05-09 - 2021-05-15,60-69,Death,,<5,<5
2021-05-09 - 2021-05-15,70-79,Hospitalization,,<5,<5
2021-05-09 - 2021-05-15,70-79,Death,,<5,<5
2021-05-09 - 2021-05-15,80-89,Hospitalization,,<5,<5
2021-05-09 - 2021-05-15,80-89,Death,,<5,
2021-05-09 - 2021-05-15,90+,Hospitalization,<5,,
2021-05-09 - 2021-05-15,90+,Death,,,
2021-05-16 - 2021-05-22,0-19,Hospitalization,,,<5
2021-05-16 - 2021-05-22,0-19,Death,,,
2021-05-16 - 2021-05-22,20-29,Hospitalization,,,<5
2021-05-16 - 2021-05-22,20-29,Death,,,
2021-05-16 - 2021-05-22,30-39,Hospitalization,,,<5
2021-05-16 - 2021-05-22,30-39,Death,,,
2021-05-16 - 2021-05-22,40-49,Hospitalization,,<5,<5
2021-05-16 - 2021-05-22,40-49,Death,,,
2021-05-16 - 2021-05-22,50-59,Hospitalization,,<5,<5
2021-05-16 - 2021-05-22,50-59,Death,,,<5
2021-05-16 - 2021-05-22,60-69,Hospitalization,,<5,
2021-05-16 - 2021-05-22,60-69,Death,,,
2021-05-16 - 2021-05-22,70-79,Hospitalization,,<5,<5
2021-05-16 - 2021-05-22,70-79,Death,,,<5
2021-05-16 - 2021-05-22,80-89,Hospitalization,,<5,5.0
2021-05-16 - 2021-05-22,80-89,Death,,<5,<5
2021-05-16 - 2021-05-22,90+,Hospitalization,,<5,
2021-05-16 - 2021-05-22,90+,Death,,<5,
2021-05-23 - 2021-05-29,0-19,Hospitalization,,,<5
2021-05-23 - 2021-05-29,0-19,Death,,,
2021-05-23 - 2021-05-29,20-29,Hospitalization,,<5,<5
2021-05-23 - 2021-05-29,20-29,Death,,,
2021-05-23 - 2021-05-29,30-39,Hospitalization,<5,<5,<5
2021-05-23 - 2021-05-29,30-39,Death,,,<5
2021-05-23 - 2021-05-29,40-49,Hospitalization,,,<5
2021-05-23 - 2021-05-29,40-49,Death,,,
2021-05-23 - 2021-05-29,50-59,Hospitalization,<5,,<5
2021-05-23 - 2021-05-29,50-59,Death,,,<5
2021-05-23 - 2021-05-29,60-69,Hospitalization,,<5,<5
2021-05-23 - 2021-05-29,60-69,Death,,,<5
2021-05-23 - 2021-05-29,70-79,Hospitalization,<5,<5,<5
2021-05-23 - 2021-05-29,70-79,Death,,,<5
2021-05-23 - 2021-05-29,80-89,Hospitalization,<5,<5,
2021-05-23 - 2021-05-29,80-89,Death,,<5,
2021-05-23 - 2021-05-29,90+,Hospitalization,<5,<5,<5
2021-05-23 - 2021-05-29,90+,Death,,,
2021-05-30 - 2021-06-05,0-19,Hospitalization,,,<5
2021-05-30 - 2021-06-05,0-19,Death,,,
2021-05-30 - 2021-06-05,20-29,Hospitalization,,,<5
2021-05-30 - 2021-06-05,20-29,Death,,,
2021-05-30 - 2021-06-05,30-39,Hospitalization,,,5.0
2021-05-30 - 2021-06-05,30-39,Death,,,
2021-05-30 - 2021-06-05,40-49,Hospitalization,,<5,<5
2021-05-30 - 2021-06-05,40-49,Death,,,
2021-05-30 - 2021-06-05,50-59,Hospitalization,,<5,<5
2021-05-30 - 2021-06-05,50-59,Death,,,<5
